max_x,std_x,rms_x,max_y,std_y,rms_y,max_z,std_z,rms_z,state
6.629604,2.5760673773797134,2.5803684796121664,7.834491000000001,2.9596475072886643,2.9600915319903534,11.094952000000001,3.9991755253832006,4.003421064514698,0
6.629604,2.8897374535836287,2.894572697184853,7.834491000000001,2.8143963810025054,2.8207493747373222,10.999748,3.936950419607034,3.986442346283212,0
9.483596,2.9758858023479333,2.9797329712643714,7.834491000000001,2.7474056155979216,2.7474514390691227,10.877647999999999,3.849457100565092,3.8793857546642614,0
9.483596,3.0627027129088127,3.074561181418252,6.857891,2.6532672306799405,2.6559627435340656,11.705352,3.961809552228753,3.980662475474654,0
9.483596,2.922388673229317,2.9641153610215643,7.712391,2.798176176454049,2.798370218643523,11.705352,3.728541949387052,3.744287079088354,0
9.483596,2.8543902307321254,2.871445274475556,7.712391,3.008737531245289,3.0161398826004397,11.705352,3.7396114230399657,3.7574997128212804,0
7.728304,2.867655407662504,2.877618975929927,7.712391,2.853694856770079,2.8658500888561838,13.685348000000001,3.668771059343442,3.6802566169733324,0
7.408396000000001,2.8226313357027344,2.829549984589776,6.857891,2.6513954226784056,2.6583128157914375,13.685348000000001,3.7053322484866325,3.708995163502374,0
9.239496,2.872302668138579,2.88683533728545,5.227009,2.5444613247412513,2.5654058712275916,13.685348000000001,3.5747459173948295,3.606630696253222,0
9.239496,2.9902984366273544,2.9947024747042903,5.227009,2.5275277831135705,2.5409910896118864,8.775652000000001,3.432989708592206,3.4622563083318942,0
9.239496,3.048011303529565,3.0481765380449994,6.569808999999999,2.6084760366704542,2.614309981985495,10.972852,3.5017925835543147,3.5253068902255875,0
10.413803999999999,3.393608142445883,3.418598274040984,10.720208999999999,2.8550591505037164,2.8685922393172225,10.972852,3.6214966917886318,3.6280828144814996,0
10.413803999999999,3.185530285308712,3.206511369072001,10.720208999999999,2.922439545734864,2.9301474552846303,10.972852,3.710713090814756,3.7217851753920463,0
10.413803999999999,3.1975938876566237,3.234292827037774,10.720208999999999,2.8478662436067816,2.854472059861683,11.976348,4.2658144773174325,4.268370736041096,0
10.413803999999999,2.9719346324673754,2.9828651034339444,5.515191000000001,2.4243446836900064,2.4387740005045564,11.976348,4.134092044896315,4.139862388616802,0
8.629196,2.836561590682635,2.839567071276888,6.369591000000001,2.437274153290721,2.4689616197022994,11.976348,4.469483672023425,4.4706043331209715,0
6.629604,2.6806792091697584,2.6891772161083027,6.369591000000001,2.3286722561431867,2.3783174522647306,11.976348,4.24798982431585,4.248579701443296,0
6.629604,2.7976797264333175,2.805546893857238,6.369591000000001,2.186014935007536,2.2597406601548333,10.877647999999999,4.112750009890098,4.131144153032185,0
6.751703999999999,2.790772566170701,2.8238435436015212,8.889109,2.5536913205967164,2.5629189288455847,11.339152,4.024543472390876,4.039763914002895,0
6.751703999999999,2.879432495266385,2.9555636367366547,8.889109,2.5819115122813554,2.5881399965911815,11.339152,4.184731671610379,4.196112716152893,0
6.751703999999999,2.66156342118763,2.7161872183455986,8.889109,2.7449407621265713,2.750180624168711,11.339152,4.000382790736282,4.019886991389185,0
7.117903999999999,2.79254771415566,2.8153587412761456,8.889109,2.934639000909482,2.9421409664662574,10.633548,3.8960508198393664,3.9242946489013795,0
7.117903999999999,2.693597030165425,2.6936438043646382,9.377409,2.993014520763305,2.993302204673126,10.633548,4.056132741922533,4.056750533827783,0
7.7746960000000005,2.8733690948910473,2.8735184885564946,9.377409,2.862910556811721,2.863461234298275,10.633548,3.9810569677284198,3.9887615778208647,0
7.7746960000000005,2.9949327147999507,2.995127807023267,9.377409,2.831387811519997,2.833761684459897,9.901148,3.840722213786752,3.8840623227806224,0
7.7746960000000005,3.051131731771671,3.0615767223808064,9.377409,2.701246754647934,2.7012602637185843,12.559852000000001,3.870741447348169,3.8707791880793194,0
